X,Y,item,pagerank,chosen
-93.58515,0.86043036,graph theory,0.0002886997759998745,1.0
14.417814,23.019531,information theory,0.00018457981997001206,1.0
-3.8193638,36.57773,claude shannon,0.0001727460192460222,1.0
15.154319,1.0066321,data mining,9.145942067928083e-05,1.0
-16.312454,-8.018432,chaos theory,8.345428540605453e-05,1.0
26.55683,-61.14247,collective intelligence,8.918986665044396e-05,1.0
13.610831,62.7134,quantum logic gate,0.0006501684155729331,1.0
2.6407268,16.314577,control theory,6.098681170817919e-05,1.0
34.54861,24.25504,operations research,0.00010565819864358853,1.0
-76.457664,-17.627079,remote sensing,9.992447621021913e-05,1.0
-6.532831,-50.16417,cognitive science,0.0007274694924840454,1.0
-10.739686,-19.668581,simulated reality,6.098681170817919e-05,1.0
-61.407505,68.06343,low-density parity-check code,0.0005060017217475599,1.0
69.340675,17.401764,propositional calculus,9.331625851589204e-05,0.0
-54.463806,52.10368,electromagnetic wave equation,0.00041891596086775863,1.0
-58.409805,-41.7248,visual perception,0.00029390851400953454,0.0
46.46667,-16.479013,semantic web,9.823618941920352e-05,1.0
50.95666,20.983234,false dilemma,0.00013864039347309228,1.0
-18.063728,65.32902,graphics processing unit,0.0002798140164713883,0.0
-0.82625705,16.943295,thermodynamic equilibrium,0.00021301877135163845,0.0
28.678892,11.481337,analytics,0.00021569456886539684,1.0
-57.774857,23.39699,fourier transform,6.78443620080671e-05,1.0
4.596421,-62.02057,empathy,0.0005625908078053184,1.0
-31.974045,-18.543678,wearable computer,0.00015167393931206724,1.0
-3.0366898,-24.885456,philosophy of perception,0.0002715255303373122,1.0
61.38773,-22.460655,natural language processing,0.0002827279866041836,0.0
10.844586,-42.433037,embodied cognition,0.0004450740005967031,0.0
67.263626,17.27929,truth-functional propositional logic,0.0002897678031837059,0.0
-46.248844,-20.33771,psychoacoustics,6.67145166490917e-05,1.0
-8.915213,-55.733948,cognitive psychology,0.0005998964493294445,0.0
-51.55633,5.433556,3d computer graphics,0.0007409266271062077,0.0
-18.731936,66.48768,gpu,0.0008831230119575267,0.0
-6.608892,-8.505042,neural network,0.00020059430750253,0.0
-44.91267,-45.80203,senses,0.00020368971776829327,0.0
-25.322563,-4.251354,speech recognition,8.717830387568163e-05,0.0
53.82652,-56.614258,digital preservation,0.0006938903997215178,1.0
58.451874,-28.674469,computational linguistics,0.0004431105502897608,0.0
-39.78019,61.11355,finite element method,0.00017741799248397779,0.0
-23.242897,21.822823,internet of things,0.0002441271167766392,0.0
28.537315,-67.65431,collaborative software,0.00013724196112736497,1.0
62.17904,-21.561613,natural-language processing,0.00012188242230117458,1.0
38.679527,-46.90085,openness,0.00014562548316062718,0.0
44.51483,11.146729,induction (philosophy),0.00015459504976116317,0.0
-11.963104,21.593473,spatial dependence,0.00031253097349094193,1.0
-4.6549845,-63.69816,self-awareness,0.0003376580980918535,1.0
-15.294672,13.815109,principal components analysis,0.0005903752205611727,0.0
28.662022,72.93697,ieee 754,4.2467908817432726e-05,0.0
-10.636188,1.2278568,artificial intelligence,0.0001921697368748496,0.0
-52.210033,27.582623,system analysis,0.0002108222217190864,0.0
-64.01058,8.443194,correlation,0.00019596707894081343,1.0
17.42685,-15.680101,problem finding,0.00026912301285114443,0.0
17.83361,-14.226023,problem shaping,7.420270147615492e-05,0.0
52.247368,-48.99473,data management,0.0004874602512992922,0.0
71.39087,-23.256096,constructed language,0.000367726815212547,1.0
2.227262,-51.619926,animal consciousness,0.0011919584932935873,0.0
8.82052,36.668274,optimal control,0.0006821165698085304,0.0
21.097466,-74.78212,spiral of silence,0.00011973313754561417,0.0
0.39312094,-38.967213,artificial consciousness,6.651801466816533e-05,0.0
-28.135872,-48.283375,perception,0.0002379695880348283,0.0
-18.97781,35.173985,computer-aided design,9.174966326033346e-05,0.0
46.58981,21.153296,fuzzy logic,0.00026086204222074865,0.0
-9.078276,-10.121676,artificial neural network,0.00011514378258393295,0.0
-24.002087,-2.346951,speech recognition software in healthcare,0.0002859097191291046,0.0
6.4838676,-48.53157,turing test,0.00024197607420420517,0.0
-1.8449353,-85.83026,transhumanism,8.861238807888825e-05,1.0
11.339273,-53.732914,speech repetition,0.00019666892591735846,0.0
-31.9161,-53.57212,gestalt psychology,4.170485048249372e-05,0.0
-33.69445,62.30957,interval finite element,0.000350642816381385,0.0
-23.216835,-23.781086,dynamical systems theory,0.0007675046536439216,0.0
28.561623,53.08118,decision theory,6.651801466816533e-05,0.0
3.2931786,-78.3028,noogenesis,0.00021382378597363823,0.0
-23.41884,29.201084,3d printing,0.0002557619005261022,0.0
-70.38387,32.701305,superlens,0.00016425669321465746,1.0
0.34695935,-8.842884,cognitive architecture,0.0003091981671705674,0.0
-5.0076613,-2.7106514,biologically inspired computing,0.00031741308950649445,0.0
79.35433,2.8916533,relational algebra,0.00010635061782313282,0.0
24.433279,22.578453,system dynamics,0.0008936620234402578,0.0
3.155689,-56.48072,theory of mind,4.233652867165292e-05,0.0
