X,Y,Z,item,pagerank,chosen
-0.16923769,-14.751452,22.595972,graph theory,0.0002886997759998745,1.0
9.206806,-1.2336004,9.705362,information theory,0.00018457981997001206,1.0
6.645816,-6.0164013,14.969408,claude shannon,0.0001727460192460222,1.0
1.39361,8.541306,-5.403635,data mining,9.145942067928083e-05,1.0
2.784449,-20.267971,12.449434,chaos theory,8.345428540605453e-05,1.0
-16.626204,6.4986835,-10.079529,collective intelligence,8.918986665044396e-05,1.0
10.183301,1.8061879,20.678787,quantum logic gate,0.0006501684155729331,1.0
4.661069,-8.739088,5.7613664,control theory,6.098681170817919e-05,1.0
13.431729,10.760456,1.0944983,operations research,0.00010565819864358853,1.0
6.6036196,-16.874826,-17.029419,remote sensing,9.992447621021913e-05,1.0
-14.845773,-0.49294508,-1.5161922,cognitive science,0.0007274694924840454,1.0
-5.00773,-13.751641,12.645201,simulated reality,6.098681170817919e-05,1.0
10.180347,-7.6281214,24.929111,low-density parity-check code,0.0005060017217475599,1.0
-10.9484625,6.526059,21.489323,propositional calculus,9.331625851589204e-05,0.0
20.17492,-6.348153,-14.3655815,electromagnetic wave equation,0.00041891596086775863,1.0
-9.850811,-21.437979,-8.873556,visual perception,0.00029390851400953454,0.0
-10.0100765,17.459349,-2.295949,semantic web,9.823618941920352e-05,1.0
1.5870811,9.400399,15.257474,false dilemma,0.00013864039347309228,1.0
11.234685,10.407298,-20.606905,graphics processing unit,0.0002798140164713883,0.0
5.1444283,-11.887304,7.3082905,thermodynamic equilibrium,0.00021301877135163845,0.0
6.8536615,16.157745,3.7764246,analytics,0.00021569456886539684,1.0
8.927781,-12.284511,-4.1270566,fourier transform,6.78443620080671e-05,1.0
-20.997726,-4.307326,10.947693,empathy,0.0005625908078053184,1.0
-7.053737,-2.1809406,-24.414679,wearable computer,0.00015167393931206724,1.0
-10.693325,-11.70836,17.585543,philosophy of perception,0.0002715255303373122,1.0
-12.057083,8.012462,-1.0457069,natural language processing,0.0002827279866041836,0.0
-14.602851,-2.6626575,6.75248,embodied cognition,0.0004450740005967031,0.0
-9.659949,5.585133,21.137299,truth-functional propositional logic,0.0002897678031837059,0.0
-3.3181996,-12.357867,-7.8065596,psychoacoustics,6.67145166490917e-05,1.0
-12.56251,-6.6575236,1.3110162,cognitive psychology,0.0005998964493294445,0.0
8.816031,-2.9737952,-20.294754,3d computer graphics,0.0007409266271062077,0.0
10.903243,9.871774,-19.3579,gpu,0.0008831230119575267,0.0
-5.0349884,-5.7566414,-5.240347,neural network,0.00020059430750253,0.0
-14.526704,-15.20632,-7.513328,senses,0.00020368971776829327,0.0
-4.7139773,0.8043281,-13.585852,speech recognition,8.717830387568163e-05,0.0
-5.5167727,13.722997,-9.7946,digital preservation,0.0006938903997215178,1.0
-16.39877,8.150232,3.8596075,computational linguistics,0.0004431105502897608,0.0
25.409245,-0.83379716,-7.336757,finite element method,0.00017741799248397779,0.0
-5.1163745,8.176547,-13.234325,internet of things,0.0002441271167766392,0.0
-21.693928,9.575297,-7.393381,collaborative software,0.00013724196112736497,1.0
-11.748364,9.252542,-0.5068885,natural-language processing,0.00012188242230117458,1.0
-7.8278403,15.151379,-17.831388,openness,0.00014562548316062718,0.0
-6.746954,2.2858286,13.916046,induction (philosophy),0.00015459504976116317,0.0
4.4946556,-15.657011,-12.035133,spatial dependence,0.00031253097349094193,1.0
-20.523796,-12.832748,9.526609,self-awareness,0.0003376580980918535,1.0
5.338349,-1.5118219,-1.1729484,principal components analysis,0.0005903752205611727,0.0
19.603134,16.714539,-0.79572386,ieee 754,4.2467908817432726e-05,0.0
-2.6057258,1.0354826,-0.116000056,artificial intelligence,0.0001921697368748496,0.0
13.513726,-12.182527,-3.935271,system analysis,0.0002108222217190864,0.0
6.0774536,-24.569376,-4.513487,correlation,0.00019596707894081343,1.0
-7.474759,5.212303,7.808261,problem finding,0.00026912301285114443,0.0
-7.637825,6.540736,9.013941,problem shaping,7.420270147615492e-05,0.0
-5.8276753,17.669983,-10.5588455,data management,0.0004874602512992922,0.0
-18.131056,15.392473,9.13905,constructed language,0.000367726815212547,1.0
-14.324547,-9.569315,6.81875,animal consciousness,0.0011919584932935873,0.0
20.838509,-0.14007984,5.8660874,optimal control,0.0006821165698085304,0.0
-25.620617,0.6927706,-2.5401564,spiral of silence,0.00011973313754561417,0.0
-10.309641,-5.5016522,5.591989,artificial consciousness,6.651801466816533e-05,0.0
-10.103957,-13.344611,3.390622,perception,0.0002379695880348283,0.0
7.0604715,1.3466092,-16.188683,computer-aided design,9.174966326033346e-05,0.0
3.234587,5.738568,14.322242,fuzzy logic,0.00026086204222074865,0.0
-3.08055,-7.118554,-3.0668697,artificial neural network,0.00011514378258393295,0.0
-2.6394863,2.2057614,-12.718134,speech recognition software in healthcare,0.0002859097191291046,0.0
-11.571167,3.7093844,6.4807434,turing test,0.00024197607420420517,0.0
-20.736885,-4.3167877,-12.662793,transhumanism,8.861238807888825e-05,1.0
-21.488342,2.0655138,6.9911838,speech repetition,0.00019666892591735846,0.0
-13.038912,-17.232595,4.4919767,gestalt psychology,4.170485048249372e-05,0.0
20.185509,-0.22376777,-3.1908865,interval finite element,0.000350642816381385,0.0
4.3798623,-14.753722,2.8751175,dynamical systems theory,0.0007675046536439216,0.0
16.592384,9.67601,5.2233233,decision theory,6.651801466816533e-05,0.0
-24.932564,-9.00067,-8.81682,noogenesis,0.00021382378597363823,0.0
1.9764671,5.400485,-18.14341,3d printing,0.0002557619005261022,0.0
14.272754,-19.247261,-9.614437,superlens,0.00016425669321465746,1.0
-2.1212306,-8.261767,6.3839054,cognitive architecture,0.0003091981671705674,0.0
-3.885849,-1.0940583,-4.702644,biologically inspired computing,0.00031741308950649445,0.0
-5.376893,16.454298,15.8118,relational algebra,0.00010635061782313282,0.0
4.042266,11.282801,6.990602,system dynamics,0.0008936620234402578,0.0
-16.800102,-7.084476,10.656407,theory of mind,4.233652867165292e-05,0.0
-11.267819,-7.3137646,16.647324,map–territory relation,9.953241761908785e-05,0.0
-10.835938,19.407467,4.598538,natural-language programming,0.00013698073400412235,0.0
-20.58866,1.0338086,-2.5073218,collective effervescence,0.00022854264976577995,0.0
-10.25038,-14.519656,-0.8237045,optical illusion,0.000669728785218211,0.0
4.4656296,4.1190977,-3.366185,cluster analysis,0.00017576083266873698,0.0
-23.186153,16.115503,-7.710967,library,8.90540572855568e-05,0.0
15.3904295,8.307037,-17.895344,opencl,0.00021594573388887084,0.0
18.725958,1.8629204,19.659943,ising model,0.0006932092990676577,0.0
19.52552,-6.1117644,2.9186716,space mapping,4.233652867165292e-05,0.0
16.639025,-0.7844588,4.461691,kalman filter,4.233652867165292e-05,0.0
-4.602324,16.926111,-15.786748,open data,4.233652867165292e-05,0.0
-2.8549051,-16.216932,4.7112784,brain–computer interface,4.233652867165292e-05,0.0
-22.854,2.8517795,-5.6113906,crowd psychology,0.0001278088991798083,0.0
-4.9415736,-11.867989,0.86312395,mathematical neuroscience,0.0012983015862913377,0.0
-9.228831,1.217313,-7.356781,meme,0.0004652619608360178,0.0
-8.471795,-4.516901,6.2526627,simulated consciousness,0.0004723891746506655,0.0
21.94794,14.810547,1.4419277,floating point,0.00031687061258983234,0.0
-10.859864,-23.189318,-5.9187183,visual system,0.00029721949721250374,0.0
5.1187887,4.1405745,24.839813,logic gate,0.00012621126879041274,0.0
-27.77929,-9.3076935,-5.640668,ecology,0.0005360712465284898,0.0
-15.897944,-1.7759148,6.2887554,predictive coding,0.00015894874446213436,0.0
5.2695513,19.826962,-0.69044906,web analytics,0.00014979975012301486,0.0
-7.0208707,12.003814,20.377539,first-order logic,6.63065017147007e-05,0.0
-1.1107111,9.612907,20.12463,principle of bivalence,0.00020146015619550942,0.0
12.386094,-6.005741,-6.9905696,analog signal processing,0.00024448341898827223,0.0
0.018222125,0.05453653,25.679058,boolean algebra (structure),0.00025645180526085034,0.0
-24.60613,-14.138753,-0.8159611,recognition of human individuals,0.0005922204085804537,0.0
2.5102506,10.357816,21.684118,many-valued logic,0.0001371361177054676,0.0
-15.268945,4.054676,-23.978935,lifecasting (video stream),0.00044810454532283366,0.0
16.78548,10.367354,-10.672978,stream processing,0.000812149775335358,0.0
20.064844,11.116264,-16.047716,parallel computing,0.00010488764821344822,0.0
1.3238566,14.377488,-1.1982272,social network analysis,0.00024507245693520315,0.0
-6.241938,5.735161,-18.058205,robotic mapping,6.896141813706579e-05,0.0
-12.547837,-0.62612367,-9.681142,marketing research,0.00013661419260231858,0.0
-22.653042,6.5471745,7.7568936,language acquisition,0.0002751392397727306,0.0
-3.5722582,-4.9144053,12.390406,mental model,0.0005649034702205228,0.0
17.236567,-0.683334,10.15623,stochastic process,0.0009562354146988573,0.0
7.2540984,14.270366,11.212215,logistic function,0.00010631252821658853,0.0
-11.047167,-8.838276,-7.8258033,motion perception,0.0010922450235178987,0.0
-8.876303,17.106792,10.762389,siri (software),0.0003900176169267207,0.0
-26.614954,0.38199198,-7.939304,group behaviour,0.0003402556291056437,0.0
30.090738,1.2907461,8.071089,conservation biology,0.0003856378289608156,0.0
-7.0633063,-5.818508,3.8985164,neural correlate,0.0007501257351335138,0.0
11.577928,-16.70231,-5.5407476,fourier analysis,8.01689252082998e-05,0.0
-8.84863,3.7197862,-3.5852952,distributional semantics,0.0005042642375954681,0.0
-10.536577,-15.673884,-2.0063138,visual illusion,0.000479392562605189,0.0
5.3737493,9.0386505,16.846937,catch-22 (logic),0.00010126137944567348,0.0
29.728077,4.8330274,1.7304097,forestry,8.92872828212172e-05,0.0
-8.47998,16.594118,14.315175,prolog,0.00041654321380740766,0.0
-16.342602,4.0598807,-23.398357,lifestreaming,0.00022529547245398146,0.0
-8.848782,7.966886,-22.197525,darpa,0.00026057747076804234,0.0
11.380556,12.953378,-22.663778,unified video decoder,0.00021164566898051651,0.0
